Name;Symbol;Units;Eucalyptus globulus;Abies alba;Alnus glutinosa;Betula pendula;Carpinus betulus;Castanea sativa;Fagus sylvatica;Fagus sylvatica2;Fraxinus excelsior;Larix decidua;Acer pseudoplatanus;Pinus pinaster;Quercus pubescence;Picea abies;Picea sitchensis;Pinus sylvestris;Pinus sylvestris2;Populus tremula;Pseudotsuga menzisii;Quercus petraea;Quercus ilex;Robinia pseudoacacia;Quercus robur;Abies borisii-regis;Fagus moesiaca;Pinus brutia;Pinus cembra;Pinus contorta;Pinus halepensis;Pinus mugo;Pinus nigra;Pinus pinea;Quercus cerris;Quercus frainetto
wsscalet;scwt;-;0;0;0;0;0,174;0,174;0,174;0,174;0;-0,192;0;-0,026;0;-0,033;-0,033;-0,026;-0,026;0;0;0;;;0;0;0,174;-0,033;-0,033;-0,033;-0,033;-0,033;-0,033;-0,033;0;0
wsscaleC;scwC;-;0;0,353;0;0;0,155;0,155;0,155;0,155;0,143;0,239;0,206;0,671;0;0,402;0,402;0,671;0,671;0;0,572;0;;;0;0,353;0,155;0,402;0,402;0,402;0,402;0,402;0,402;0,402;0;0
wsshape0;shw0;-;0;0,46;-2,162;-2,162;0,551;0,551;0,551;0,551;1,481;-0,491;0,247;-0,404;-1,287;0,16;0,16;-0,404;-0,404;0;0,323;-1,287;;;-1,287;0,46;0,551;0,16;0,16;0,16;0,16;0,16;0,16;0,16;-1,287;-1,287
wsshapeB;shwB;-;0;0,107;0,885;0,885;0,288;0,288;0,288;0,288;0,297;0,489;0;0,405;0,553;0,461;0,461;0,405;0,405;0;1,369;0,553;;;0,553;0,107;0,288;0,461;0,461;0,461;0,461;0,461;0,461;0,461;0,553;0,553
wsshaperh;shwrh;-;0;0,705;0;0;0,585;0,585;0,585;0,585;0;0,428;0;0;0;0,273;0,273;0;0;0;0;0;;;0;0,705;0,585;0,273;0,273;0,273;0,273;0,273;0,273;0,273;0;0
wsshapet;shwt;-;0;0;0;0;-0,158;-0,158;-0,158;-0,158;-0,537;-0,19;0;-0,098;0;-0,241;-0,241;-0,098;-0,098;0;-1,263;0;;;0;0;-0,158;-0,241;-0,241;-0,241;-0,241;-0,241;-0,241;-0,241;0;0
wsshapeC;shwC;-;0;-0,196;0;0;-0,188;-0,188;-0,188;-0,188;0;0;0;0;0;-0,085;-0,085;0;0;0;0;0;;;0;-0,196;-0,188;-0,085;-0,085;-0,085;-0,085;-0,085;-0,085;-0,085;0;0
wslocation0;locw0;;0;-0,168;1,459;1,459;-0,081;-0,081;-0,081;-0,081;1,257;-1,092;1,902;-2,999;-0,966;-0,937;-0,937;-2,999;-2,999;0;-0,854;-0,966;;;-0,966;-0,168;-0,081;-0,937;-0,937;-0,937;-0,937;-0,937;-0,937;-0,937;-0,966;-0,966
wslocationB;locwB;;0;1,555;0;0;1,915;1,915;1,915;1,915;2,311;1,88;0,487;2,564;1,651;2,005;2,005;2,564;2,564;0;-0,126;1,651;;;1,651;1,555;1,915;2,005;2,005;2,005;2,005;2,005;2,005;2,005;1,651;1,651
wslocationrh;locwrh;;0;0;-1,164;-1,164;-0,795;-0,795;-0,795;-0,795;-2,136;0;-0,381;-1,081;0;-0,735;-0,735;-1,081;-1,081;0;0,112;0;;;0;0;-0,795;-0,735;-0,735;-0,735;-0,735;-0,735;-0,735;-0,735;0;0
wslocationt;locwt;;0;0;0;0;-0,483;-0,483;-0,483;-0,483;-0,934;0;0;-0,387;0;-0,228;-0,228;-0,387;-0,387;0;1,971;0;;;0;0;-0,483;-0,228;-0,228;-0,228;-0,228;-0,228;-0,228;-0,228;0;0
wslocationC;locwC;;0;-0,282;0,894;0,894;0,1;0,1;0,1;0,1;0;-0,469;0;0,291;0;-0,194;-0,194;0,291;0,291;0;-0,609;0;;;0;-0,282;0,1;-0,194;-0,194;-0,194;-0,194;-0,194;-0,194;-0,194;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Qa;Qa;W/m2;-90;;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90
Qb;Qb;-;0,8;;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8
gDM_mol;;gDM/mol;24;;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;;24;24;24;24;24;24;24;24;24;24
molPAR_MJ;;mol/MJ;2,3;;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3;2,3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
klmax;  ;-;0,05;0,06;0,02;0,05;0,02;0,02;0,02;0,02;0,02;0,05;0,02;0,002;0,015;0,06;0,06;0,05;0,05;0,05;0,08;0,015;0,015;0,025;0,015;0,06;0,02;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,015;0,015
krmax;  ;-;0,0067;0,00275;0,004;0,005;0,005;0,004;0,005;0,005;0,004;0,00275;0,004;0,00275;0,004;0,00275;0,00275;0,0042;0,0042;0,0067;0,00275;0,004;0,004;0,004;0,004;0,00275;0,005;0,00275;0,00275;0,00275;0,00275;0,00275;0,00275;0,00275;0,004;0,004
komax;  ;-;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886;0,00045886
hc;hc;-;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
qir;qir;-;300;346;364,5;277;277;654;364,5;364,5;364,5;270;556;277;303;346;346;334,29;334,29;300;880;303;300;364,5;303;346;364,5;346;346;346;346;346;346;346;303;303
qil;qil;-;25;50;18,5;33,75;42,7;36,95;36,95;36,95;23,65;37,16;49,1;98,7;18;50;50;49,08;49,08;25;72;18;18;36,95;18;50;36,95;50;50;50;50;50;50;50;18;18
qh;qh;-;23,6348669;23,63;23,63;23,63;28;23,63;28;28;23,63;23,63;23,63;23,63;23,63;23,63;23,63;23,63;23,63;23,6348669;23,63;23,63;23,63;23,63;23,63;23,63;28;23,63;23,63;23,63;23,63;23,63;23,63;23,63;23,63;23,63
qbc;qbc;-;2,21427684;2,21;2,21;2,21;7,7;2,21;7,7;7,7;2,21;2,21;2,21;2,21;2,21;2,21;2,21;2,21;2,21;2,21427684;2,21;2,21;2,21;2,21;2,21;2,21;7,7;2,21;2,21;2,21;2,21;2,21;2,21;2,21;2,21;2,21
el;el;-;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,25;0,25;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
er;er;-;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,56;0,56;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2
Ncf;Ncf;-;1,2;1,3;2,6;2,5;2,6;2,5;2,6;2,6;2,5;2;2,6;1,48;2,5;1,3;1,3;1,48;1,48;2,5;1,52;2,5;1,5;3,36;2,5;1,3;2,6;1,3;1,3;1,3;1,3;1,3;1,3;1,3;2,5;2,5
Ncr;Ncr;-;0,96;0,41;0,3;0,37;0,3;0,37;0,3;0,3;0,37;0,3;0,3;0,361;0,371;0,289;0,41;0,361;0,177;0,4;0,162;0,33;0,34;1,71;0,33;0,41;0,3;0,41;0,289;0,289;0,289;0,289;0,289;0,289;0,33;0,33
Ncs;Ncs;-;0,1;0,12;0,15;0,361;0,15;0,17;0,274;0,15;0,17;0,1;0,15;0,361;0,21;0,289;0,12;0,361;0,109;0,06;0,103;0,33;0,21;1,53;0,33;0,12;0,274;0,12;0,289;0,289;0,289;0,289;0,289;0,289;0,33;0,33
FR_mod;FR_mod;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
parameter_AWEN_1;fol_A;-;0,36;0,48;0,41;0,41;0,41;0,41;0,41;0,41;0,41;0,52;0,41;0,52;0,41;0,48;0,48;0,52;0,52;0,41;0,48;0,41;0,41;0,41;0,41;0,48;0,41;0,48;0,48;0,48;0,48;0,48;0,48;0,48;0,41;0,41
parameter_AWEN_2;fol_W;-;0,28;0,13;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,17;0,2;0,18;0,2;0,13;0,13;0,18;0,18;0,2;0,13;0,2;0,2;0,2;0,2;0,13;0,2;0,13;0,13;0,13;0,13;0,13;0,13;0,13;0,2;0,2
parameter_AWEN_3;fol_E;-;0,1;0,07;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,09;0,1;0,09;0,1;0,07;0,07;0,09;0,09;0,1;0,07;0,1;0,1;0,1;0,1;0,07;0,1;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,1;0,1
parameter_AWEN_4;fol_N;-;0,26;0,32;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,22;0,29;0,21;0,29;0,32;0,32;0,21;0,21;0,29;0,32;0,29;0,29;0,29;0,29;0,32;0,29;0,32;0,32;0,32;0,32;0,32;0,32;0,32;0,29;0,29
parameter_AWEN_5;fol_H;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parameter_AWEN_6;cwd_A;-;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7
parameter_AWEN_7;cwd_W;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parameter_AWEN_8;cwd_E;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parameter_AWEN_9;cwd_N;-;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3
parameter_AWEN_10;cwd_H;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
